ID;name;gender;PeoplesCount;WhenPeoplesCount;
19903;Аалия;women;13;23.06.2016 13:39:41;
19904;Аанжелла;women;0;23.06.2016 13:39:46;
19905;Аба;women;1000;23.06.2016 13:39:55;
19906;Абав;women;0;23.06.2016 13:40:02;
19907;Абам;women;32;23.06.2016 13:40:11;
19908;Абаханум;women;4;23.06.2016 13:40:19;
19909;Абаш;women;125;23.06.2016 13:40:27;
19910;Аббаза;women;3;23.06.2016 13:40:34;
19911;Абгюль;women;0;23.06.2016 13:40:42;
19912;Абдужалия;women;0;23.06.2016 13:40:50;
19913;Абдулния;women;1;23.06.2016 13:40:58;
19914;Абдулпетта;women;2;23.06.2016 13:41:07;
19915;Абдулька;women;5;23.06.2016 13:41:14;
19916;Абдупатта;women;0;23.06.2016 13:41:23;
19917;Абдурасуль;women;1;23.06.2016 13:41:30;
19918;Абдурефи;women;24;23.06.2016 13:41:40;
19919;Абдурома;women;3;23.06.2016 13:41:47;
19920;Абдюль;women;11;23.06.2016 13:41:54;
19921;Абелина;women;30;23.06.2016 13:42:03;
19922;Абель;women;892;23.06.2016 13:42:11;
19923;Абибат;women;2;23.06.2016 13:42:18;
19924;Абигейль;women;0;23.06.2016 13:42:26;
19925;Абигель;women;48;23.06.2016 13:42:35;
19926;Абика;women;62;23.06.2016 13:42:43;
19927;Абилфетта;women;3;23.06.2016 13:42:53;
19928;Аблялиль;women;2;23.06.2016 13:42:58;
19929;Абрагина;women;36;23.06.2016 13:43:07;
19930;Абрамия;women;39;23.06.2016 13:43:16;
19931;Абраша;women;71;23.06.2016 13:43:23;
19932;Абрииа;women;0;23.06.2016 13:43:30;
19933;Абуватфа;women;7;23.06.2016 13:43:39;
19934;Абузарь;women;0;23.06.2016 13:43:46;
19935;Абульфаза;women;1;23.06.2016 13:43:54;
19936;Абуся;women;0;23.06.2016 13:44:02;
19937;Абута;women;2;23.06.2016 13:44:10;
19938;Абутаима;women;2;23.06.2016 13:44:18;
19939;Авагея;women;4;23.06.2016 13:44:26;
19940;Аванда;women;18;23.06.2016 13:44:35;
19941;Аванна;women;10;23.06.2016 13:44:43;
19942;Авашарфа;women;3;23.06.2016 13:44:51;
19943;Авашерфа;women;0;23.06.2016 13:44:58;
19944;Аващарфа;women;1;23.06.2016 13:45:06;
19945;Авгалифена;women;0;23.06.2016 13:45:14;
19946;Авгела;women;1;23.06.2016 13:45:22;
19947;Авгения;women;0;23.06.2016 13:45:30;
19948;Авгиння;women;3;23.06.2016 13:45:38;
19949;Авгусита;women;1;23.06.2016 13:45:46;
19950;Августа;women;13000;23.06.2016 13:45:55;
19951;Августина;women;5000;23.06.2016 13:46:03;
19952;Августиния;women;9;23.06.2016 13:46:11;
19953;Авдия;women;14;23.06.2016 13:46:20;
19954;Авдокия;women;4;23.06.2016 13:46:27;
19955;Авдоля;women;2;23.06.2016 13:46:34;
19956;Авдотия;women;21;23.06.2016 13:46:45;
19957;Авдотья;women;2000;23.06.2016 13:46:51;
19958;Авдоха;women;7;23.06.2016 13:46:58;
19959;Авелина;women;0;23.06.2016 13:47:06;
19960;Авелия;women;62;23.06.2016 13:47:15;
19961;Авеля;women;11;23.06.2016 13:47:23;
19962;Авенгилина;women;3;23.06.2016 13:47:30;
19963;Авенила;women;0;23.06.2016 13:47:38;
19964;Авения;women;5;23.06.2016 13:47:47;
19965;Авентина;women;7;23.06.2016 13:47:55;
19966;Авера;women;37;23.06.2016 13:48:03;
19967;Авереса;women;1;23.06.2016 13:48:10;
19968;Аверида;women;6;23.06.2016 13:48:19;
19969;Аверия;women;24;23.06.2016 13:48:27;
19970;Авета;women;0;23.06.2016 13:48:34;
19971;Аветлана;women;3;23.06.2016 13:48:43;
19972;Аветра;women;0;23.06.2016 13:48:50;
19973;Авза;women;308;23.06.2016 13:48:59;
19974;Авзаль;women;18;23.06.2016 13:49:08;
19975;Авиа;women;11000;23.06.2016 13:49:15;
19976;Авиада;women;2;23.06.2016 13:49:24;
19977;Авиана;women;14;23.06.2016 13:49:33;
19978;Авиата;women;0;23.06.2016 13:49:38;
19979;Авиатта;women;0;23.06.2016 13:49:46;
19980;Авигея;women;146;23.06.2016 13:49:55;
19981;Авиета;women;6;23.06.2016 13:50:03;
19982;Авизия;women;0;23.06.2016 13:50:10;
19983;Авила;women;3000;23.06.2016 13:50:19;
19984;Авилина;women;73;23.06.2016 13:50:27;
19985;Авина;women;225;23.06.2016 13:50:35;
19986;Авиона;women;2;23.06.2016 13:50:42;
19987;Авиреза;women;5;23.06.2016 13:50:51;
19988;Авиталь;women;176;23.06.2016 13:50:59;
19989;Авиша;women;7;23.06.2016 13:51:07;
19990;Авиэта;women;3;23.06.2016 13:51:15;
19991;Авия;women;114;23.06.2016 13:51:23;
19992;Авксения;women;1;23.06.2016 13:51:30;
19993;Авксентия;women;4;23.06.2016 13:51:38;
19994;Авлат;women;4;23.06.2016 13:51:46;
19995;Авлевтина;women;3;23.06.2016 13:51:54;
19996;Авлентина;women;5;23.06.2016 13:52:03;
19997;Авлина;women;7;23.06.2016 13:52:10;
19998;Авлора;women;7;23.06.2016 13:52:19;
19999;Авмрозия;women;1;23.06.2016 13:52:26;
20000;Авнда;women;1;23.06.2016 13:52:34;
20001;Авнендра;women;3;23.06.2016 13:52:42;
20002;Авнизия;women;0;23.06.2016 13:52:50;
20003;Аворика;women;5;23.06.2016 13:52:58;
20004;Авралия;women;0;23.06.2016 13:53:06;
20005;Аврамия;women;2;23.06.2016 13:53:14;
20006;Аврела;women;2;23.06.2016 13:53:22;
20007;Аврелия;women;555;23.06.2016 13:53:31;
20008;Аврелка;women;3;23.06.2016 13:53:40;
20009;Аврелька;women;4;23.06.2016 13:53:46;
20010;Авреля;women;9;23.06.2016 13:53:56;
20011;Авремия;women;2;23.06.2016 13:54:02;
20012;Аврийка;women;3;23.06.2016 13:54:11;
20013;Аврика;women;18;23.06.2016 13:54:19;
20014;Аврилия;women;7;23.06.2016 13:54:27;
20015;Аврилияна;women;1;23.06.2016 13:54:35;
20016;Авриль;women;19;23.06.2016 13:54:44;
20017;Авриля;women;0;23.06.2016 13:54:50;
20018;Авриния;women;1;23.06.2016 13:55:00;
20019;Авроза;women;2;23.06.2016 13:55:06;
20020;Аврония;women;1;23.06.2016 13:55:14;
20021;Авроня;women;0;23.06.2016 13:55:22;
20022;Аврора;women;66000;23.06.2016 13:55:31;
20023;Авросия;women;5;23.06.2016 13:55:38;
20024;Аврура;women;1;23.06.2016 13:55:46;
20025;Аврустина;women;3;23.06.2016 13:55:54;
20026;Авруся;women;1;23.06.2016 13:56:02;
20027;Авруца;women;0;23.06.2016 13:56:10;
20028;Аврыда;women;1;23.06.2016 13:56:19;
20029;Автандия;women;0;23.06.2016 13:56:26;
20030;Автелина;women;0;23.06.2016 13:56:34;
20031;Автолина;women;0;23.06.2016 13:56:42;
20032;Автомаска;women;1;23.06.2016 13:56:50;
20033;Автондия;women;2;23.06.2016 13:56:59;
20034;Автонина;women;12;23.06.2016 13:57:08;
20035;Авула;women;19;23.06.2016 13:57:15;
20036;Агаатэ;women;2;23.06.2016 13:57:22;
20037;Агавала;women;1;23.06.2016 13:57:31;
20038;Агавара;women;1;23.06.2016 13:57:38;
20039;Агавия;women;5;23.06.2016 13:57:46;
20040;Агавня;women;0;23.06.2016 13:57:54;
20041;Агагюль;women;10;23.06.2016 13:58:03;
20042;Агада;women;29;23.06.2016 13:58:13;
20043;Агаджума;women;8;23.06.2016 13:58:19;
20044;Агадия;women;3;23.06.2016 13:58:26;
20045;Агадпея;women;4;23.06.2016 13:58:34;
20046;Агалина;women;79;23.06.2016 13:58:43;
20047;Агалирза;women;1;23.06.2016 13:58:50;
20048;Агамерза;women;0;23.06.2016 13:58:58;
20049;Агамирза;women;74;23.06.2016 13:59:07;
20050;Аганда;women;5;23.06.2016 13:59:15;
20051;Аганета;women;14;23.06.2016 13:59:23;
20052;Аганиса;women;3;23.06.2016 13:59:31;
20053;Агания;women;4;23.06.2016 13:59:38;
20054;Аганя;women;20;23.06.2016 13:59:48;
20055;Агаория;women;0;23.06.2016 13:59:54;
20056;Агапея;women;4;23.06.2016 14:00:03;
20057;Агапи;women;264;23.06.2016 14:00:11;
20058;Агапия;women;0;23.06.2016 14:00:18;
20059;Агапка;women;12;23.06.2016 14:00:27;
20060;Агапья;women;3;23.06.2016 14:00:34;
20061;Агариза;women;11;23.06.2016 14:00:45;
20062;Агария;women;2;23.06.2016 14:00:50;
20063;Агарпена;women;0;23.06.2016 14:00:58;
20064;Агарпина;women;2;23.06.2016 14:01:06;
20065;Агарпына;women;0;23.06.2016 14:01:14;
20066;Агарпья;women;2;23.06.2016 14:01:23;
20067;Агарья;women;1;23.06.2016 14:01:30;
20068;Агасия;women;2;23.06.2016 14:01:38;
20069;Агастрия;women;0;23.06.2016 14:01:46;
20070;Агася;women;9;23.06.2016 14:01:55;
20071;Агат;women;0;23.06.2016 14:02:02;
20072;Агата;women;23000;23.06.2016 14:02:12;
20073;Агатина;women;64;23.06.2016 14:02:19;
20074;Агатия;women;1;23.06.2016 14:02:26;
20075;Агатья;women;3;23.06.2016 14:02:34;
20076;Агатя;women;0;23.06.2016 14:02:42;
20077;Агафа;women;22;23.06.2016 14:02:51;
20078;Агафена;women;7;23.06.2016 14:03:00;
20079;Агафения;women;0;23.06.2016 14:03:06;
20080;Агафея;women;0;23.06.2016 14:03:14;
20081;Агафиа;women;1;23.06.2016 14:03:22;
20082;Агафинья;women;1;23.06.2016 14:03:31;
